Date,1,2,3,4,5,6,8,10,11,12,13,15,16,18,20,22,24,32,36,40,42,48,52,64,66,72,80,96,132,144,192,240,320,Total
1/01/15,,,,,,,,,,222,,,783,,,,,,,,,,,,,,,,,,,,,1005
2/01/15,,,,,,,,,,352,,,2551,,,,,,,,,,,,,,,,,,,,,2903
3/01/15,,,,,,,,,,170,,,798,,,,,,,,,,,,,,,,,,,,,968
4/01/15,,,,,,,,,,30,,,10,,,,,,,,,,,,,,,,,,,,,40
5/01/15,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,3
6/01/15,,,,,,2,,,,30,,,9,,,,2,,2,,,,,,,,,1,,,,,,46
7/01/15,7,,,,,,,,,28,,,28,,,,,1,,,,,,,,,,,,,,,,64
8/01/15,4,,,,,,,,,3,,,4,,,,1,,,,,,,,,,,,,,,,,12
9/01/15,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
10/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15/01/15,9,,,,,3,,3,,3,,,65,,,,7,9,,,,2,,2,,,10,,,,,,,113
16/01/15,,,,,,,,,,1,,,13,,,,2,,,,,,,,,,,,,,,,,16
17/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19/01/15,3,1,,,,2,,,,7,,,2,,,,21,,,,,,,,,,,,,,,,,36
20/01/15,,2,,,,,,,,17,,,4,,,,4,,,,,,,,,,,,,,,,,27
21/01/15,,,,1,,7,,,,,,,148,,,,5,,,,,,,,,,,,,1,,,,162
22/01/15,,,,,,2,,,,1,,,5,,,,1,,,,,,,,,,,,,1,,,,10
23/01/15,,,,,,3,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,9
24/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25/01/15,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,159
26/01/15,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,208
27/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28/01/15,,,,,,,,,1,8,1,2,256,1,,1,8,,,,,,,,,,,,,,,,,278
29/01/15,,,,,,,,,,,,,352,,,,31,4,,,,1,,,,,,,,,,,,388
30/01/15,,,,,,,,,,,,,22,,,,,2,,,,,,,,,,,,,,,,24
31/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1/02/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2/02/15,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4
3/02/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4/02/15,,,,,,,,,,,,,33,,,,,,,,,,,,,,2,,,1,,,,36
5/02/15,,,,,,,,,,,1,,107,,,,,4,,,,2,,1,,,,,,,,,,115
6/02/15,,,,,,,,,,,,,113,,,,8,,,,,,,,,,,,,,,,,121
7/02/15,,20,,,,,,,,,,,1197,,,,,,,,,,,,,,,,,,,,,1217
8/02/15,721,,,,,,,,,,,,1511,,,,,,,,,,,,,,,,,,,,,2232
9/02/15,2279,5,,,,,,,,,,,107,,,,,,,,,,,,,,,,,1,,,,2392
10/02/15,1262,,,,,,,,,,,,1075,,,,,,,,,,,,,,,,,1,,,,2338
11/02/15,1821,,,,,,,,,,,,136,,,,,3,,,,,,,,,,,1,,,,,1961
12/02/15,1684,,,,,,,,,,,,40,,,,,,,,,,,,,,,,1,,,,,1725
13/02/15,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,2,,,,,31
14/02/15,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3
15/02/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16/02/15,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
17/02/15,,,,,,,,,,,,,2299,,,,,,,,,,,3,,,1,,,,,,1,2304
18/02/15,1503,,,,,,,,,,,,96,,,,,1,,,,1,,,,,,,,,,,,1601
19/02/15,1440,,,,,,,,,,,,41,,1,,,,,,,,,,,,,,,,,,,1482
20/02/15,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,3,,49
21/02/15,,,,,,,,,,,,,116,,,,,,,,,,,1,,,,,,,,1,,118
22/02/15,,,,,,,,,,,,,211,,,,,,,,,,,,,,,,,,,1,,212
23/02/15,,,,,,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,297
24/02/15,984,,,,,,,,,,,,628,,,,,1,,,,,,,,,,,,,,,,1613
25/02/15,101,,,,,,,,,,,,1023,20,,,,1,,,,,,,,,,,,,,,,1145
26/02/15,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3
27/02/15,1997,,,,,,1,,,,,,68,,,,,,,,,,,1,,,,,,,,,,2067
28/02/15,23,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,24
1/03/15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
2/03/15,10,,,,,,,,,,,,416,,,,,,,,,,,,,,,,,,,,,426
3/03/15,,,,,,8,,,,,,,34,,,,,1,,,,,,,,,1,,,,,,,44
4/03/15,6,,,,,1,,,,,,,62,,,,,1,,,,,,,,,,,,,,,,70
5/03/15,,,,,,,,,,,,,1591,,,,,,,,,,,,,,,,,,,,,1591
6/03/15,,,,,,,,,,,,,324,,,,,4,,,,,,,,,,,,,,,,328
7/03/15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
8/03/15,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
9/03/15,,,,,,,,,,,,,54,,,,,1,,,,,,,,,,,,,,,,55
10/03/15,,,,,,,,,,,,,59,,,,,6,,,,,,,,,,,,,,,,65
11/03/15,,,,,,,,,,,,,80,3,,,,1,,,,,,,,,,,,,,,,84
12/03/15,2,,,,,,,,,,,,92,,,,,2,,,,,,,,,,,,,,,,96
13/03/15,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,16
14/03/15,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,6
15/03/15,,,,,,,,,,,,,786,,,,,,,,,,,,,,,,,,,,,786
16/03/15,4,,,,,,,,,,,,5114,,,,2,,,,,,,,,,,,,,,,,5120
17/03/15,,,,,,,,,,,,,14,,,,,5,,,,,,,,,,,,,,,,19
18/03/15,,,,,,,,,,,,,11,,,,,1,,,,,1,,,,,,,,,,,13
19/03/15,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,58
20/03/15,6,,,,,,,,,,,,33,,,,,,,,,,1,,,,,,,,,,,40
21/03/15,1,2,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,13
22/03/15,,,,,,,,,,,,,20,,,,,,,,,,1,,,,,,,,,,,21
23/03/15,,,,,,,,,,,,,21,,,,,2,,,,,,,,,,,,,,,,23
24/03/15,1,,,,,,,,,,,,45,,,,,10,,,,,,,,,,,,,,,,56
25/03/15,,1,,,,,,,,,,,164,,,,,1,,,,,,,,,,,,,,,,166
26/03/15,,,,,,,,,,,,,134,,,,,3,,,,,,,,,,,,,,,,137
27/03/15,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,33
28/03/15,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,7
29/03/15,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5
30/03/15,3,,,,,,,,,,,,26,,,,,4,,,,,,,,,,,,,,,,33
